sample_id,sample_key,dataset_version,category,expected_document_id,expected_provision_type,expected_provision_numbers,document_accuracy,retrieval_hit_at_5,provision_accuracy,citation_presence,answer_reference_cosine_similarity,invalid_provision_rejection_accuracy,prediction_present,retrieved_context_count,matched_context_count,expected_provision_count,context_precision_local,context_recall_local,retrieval_recall_at_5,reciprocal_rank,duplicate_context_rate,retrieval_failed,no_match,exact_citation_completeness,retrieval_latency_ms,ranking_latency_ms,selection_latency_ms,generation_latency_ms,total_latency_ms
ata_test_011,ata_test_011,legal_rag_gold_v1,definition,ata_1997,section,2,1.0,0.0,1.0,0.0,0.794768214225769,nan,1.0,4,1,1,0.25,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,100.24390000035055,4.321600004914217,0.06350000330712646,1322.5342000005185,1433.3654999936698
ata_test_012,ata_test_012,legal_rag_gold_v1,definition,ata_1997,section,6,1.0,1.0,1.0,1.0,0.7583618760108948,nan,1.0,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1018.7470000018948,15.72640000085812,0.1536999989184551,4953.651700001501,6044.980200000282
ata_test_013,ata_test_013,legal_rag_gold_v1,punishment,ata_1997,section,7,1.0,1.0,1.0,1.0,0.8154101967811584,nan,1.0,4,1,1,0.25,1.0,1.0,0.5,0.0,0.0,0.0,1.0,104.52919999806909,3.874400004860945,0.1154000055976212,1186.5709999983665,1301.3987999947858
ata_test_014,ata_test_014,legal_rag_gold_v1,punishment,ata_1997,section,7,1.0,1.0,1.0,1.0,0.6861952543258667,nan,1.0,4,1,1,0.25,1.0,1.0,0.5,0.0,0.0,0.0,1.0,104.21939999650931,3.9833999981055968,0.10150000161956996,10510.952399999951,10626.171600000816
ata_test_015,ata_test_015,legal_rag_gold_v1,punishment,ata_1997,section,9,1.0,0.0,0.0,1.0,0.5033463835716248,nan,1.0,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.33100000023842,4.000000000814907,0.06679999933112413,10435.97900000168,10540.097100005369
ata_test_016,ata_test_016,legal_rag_gold_v1,punishment,ata_1997,section,11F,1.0,1.0,1.0,1.0,0.6271491050720215,nan,1.0,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,185.99499999982072,12.220900003740098,0.2601999949547462,6931.774799995765,7141.652799997246
ata_test_017,ata_test_017,legal_rag_gold_v1,punishment,ata_1997,section,11F,1.0,1.0,1.0,1.0,0.6177643537521362,nan,1.0,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,187.83190000249306,13.181599999370519,0.18390000332146883,1511.1935999957495,1722.7261000007275
ata_test_018,ata_test_018,legal_rag_gold_v1,punishment,ata_1997,section,11G,1.0,1.0,1.0,1.0,0.4886453449726105,nan,1.0,3,1,1,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,189.15730000298936,5.953299994871486,0.14250000094762072,10473.076299997047,10674.066999999923
ata_test_019,ata_test_019,legal_rag_gold_v1,punishment,ata_1997,section,11EE,1.0,1.0,1.0,1.0,0.6796334981918335,nan,1.0,2,1,1,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,114.77279999962775,5.070600003818981,0.1038999980664812,17075.301700002456,17203.8321
ata_test_020,ata_test_020,legal_rag_gold_v1,nonexistent_provision,ata_1997,section,,1.0,1.0,0.0,1.0,0.6820398569107056,0.0,1.0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.42980000108946,15.513800004555378,0.22590000298805535,11315.206300001591,11417.810300001292
